DATE,SP500,VIX,10yr,2yr,Slope
2/11/2008,1339.13,27.60,3.62,1.93,1.69
2/12/2008,1348.86,26.33,3.66,1.94,1.72
2/13/2008,1367.21,24.88,3.70,1.91,1.79
2/14/2008,1348.86,25.54,3.85,1.93,1.92
2/15/2008,1349.99,25.02,3.76,1.91,1.85
2/18/2008,.,0.00,.,.,#VALUE!
2/19/2008,1348.78,25.59,3.89,2.06,1.83
2/20/2008,1360.03,24.40,3.93,2.14,1.79
2/21/2008,1342.53,25.12,3.77,1.98,1.79
2/22/2008,1353.11,24.06,3.79,1.98,1.81
2/25/2008,1371.80,23.03,3.91,2.13,1.78
2/26/2008,1381.29,21.90,3.88,2.04,1.84
2/27/2008,1380.02,22.69,3.85,2.01,1.84
2/28/2008,1367.68,23.53,3.71,1.87,1.84
2/29/2008,1330.63,26.54,3.53,1.65,1.88
3/3/2008,1331.34,26.28,3.54,1.61,1.93
3/4/2008,1326.75,25.52,3.63,1.65,1.98
3/5/2008,1333.70,24.60,3.70,1.66,2.04
3/6/2008,1304.34,27.55,3.62,1.53,2.09
3/7/2008,1293.37,27.49,3.56,1.53,2.03
3/10/2008,1273.37,29.38,3.46,1.47,1.99
3/11/2008,1320.65,26.36,3.60,1.74,1.86
3/12/2008,1308.77,27.22,3.49,1.63,1.86
3/13/2008,1315.48,27.29,3.56,1.63,1.93
3/14/2008,1288.14,31.16,3.44,1.47,1.97
3/17/2008,1276.60,32.24,3.34,1.35,1.99
3/18/2008,1330.74,25.79,3.48,1.58,1.90
3/19/2008,1298.42,29.84,3.38,1.54,1.84
3/20/2008,1329.51,26.62,3.34,1.59,1.75
3/21/2008,.,0.00,.,.,#VALUE!
3/24/2008,1349.88,25.73,3.56,1.84,1.72
3/25/2008,1352.99,25.72,3.51,1.79,1.72
3/26/2008,1341.13,26.08,3.51,1.71,1.80
3/27/2008,1325.76,25.88,3.56,1.73,1.83
3/28/2008,1315.22,25.71,3.47,1.67,1.80
3/31/2008,1322.70,25.61,3.45,1.62,1.83
4/1/2008,1370.18,22.68,3.57,1.8,1.77
4/2/2008,1367.53,23.43,3.60,1.88,1.72
4/3/2008,1369.31,23.21,3.61,1.91,1.70
4/4/2008,1370.40,22.45,3.50,1.83,1.67
4/7/2008,1372.54,22.42,3.57,1.95,1.62
4/8/2008,1365.54,22.36,3.58,1.87,1.71
4/9/2008,1354.49,22.81,3.49,1.77,1.72
4/10/2008,1360.55,21.98,3.55,1.84,1.71
4/11/2008,1332.83,23.46,3.49,1.76,1.73
4/14/2008,1328.32,23.82,3.53,1.78,1.75
4/15/2008,1334.43,22.78,3.60,1.84,1.76
4/16/2008,1364.71,20.53,3.72,1.98,1.74
4/17/2008,1365.56,20.37,3.75,2.13,1.62
4/18/2008,1390.33,20.13,3.77,2.19,1.58
4/21/2008,1388.17,20.50,3.75,2.2,1.55
4/22/2008,1375.94,20.87,3.74,2.24,1.50
4/23/2008,1379.93,20.26,3.77,2.22,1.55
4/24/2008,1388.82,20.06,3.87,2.41,1.46
4/25/2008,1397.84,19.59,3.91,2.44,1.47
4/28/2008,1396.37,19.64,3.86,2.36,1.50
4/29/2008,1390.94,20.24,3.85,2.35,1.50
4/30/2008,1385.59,20.79,3.77,2.29,1.48
5/1/2008,1409.34,18.88,3.78,2.37,1.41
5/2/2008,1413.90,18.18,3.89,2.47,1.42
5/5/2008,1407.49,18.90,3.88,2.42,1.46
5/6/2008,1418.26,18.21,3.93,2.38,1.55
5/7/2008,1392.57,19.73,3.87,2.31,1.56
5/8/2008,1397.68,19.40,3.79,2.25,1.54
5/9/2008,1388.28,19.41,3.77,2.25,1.52
5/12/2008,1403.58,17.79,3.78,2.3,1.48
5/13/2008,1403.04,17.98,3.90,2.47,1.43
5/14/2008,1408.66,17.66,3.92,2.53,1.39
5/15/2008,1423.57,16.30,3.83,2.45,1.38
5/16/2008,1425.35,16.47,3.85,2.47,1.38
5/19/2008,1426.63,17.01,3.83,2.42,1.41
5/20/2008,1413.40,17.58,3.78,2.34,1.44
5/21/2008,1390.71,18.59,3.81,2.41,1.40
5/22/2008,1394.35,18.05,3.92,2.56,1.36
5/23/2008,1375.93,19.55,3.85,2.46,1.39
5/26/2008,.,0.00,.,.,#VALUE!
5/27/2008,1385.35,19.64,3.93,2.55,1.38
5/28/2008,1390.84,19.07,4.03,2.62,1.41
5/29/2008,1398.26,18.14,4.08,2.67,1.41
5/30/2008,1400.38,17.83,4.06,2.66,1.40
6/2/2008,1385.67,19.83,3.98,2.51,1.47
6/3/2008,1377.65,20.24,3.92,2.45,1.47
6/4/2008,1377.20,20.80,3.98,2.47,1.51
6/5/2008,1404.05,18.63,4.06,2.52,1.54
6/6/2008,1360.68,23.56,3.94,2.4,1.54
6/9/2008,1361.76,23.12,4.02,2.73,1.29
6/10/2008,1358.44,23.18,4.11,2.91,1.20
6/11/2008,1335.49,24.12,4.10,2.83,1.27
6/12/2008,1339.87,23.33,4.23,3.03,1.20
6/13/2008,1360.03,21.22,4.27,3.05,1.22
6/16/2008,1360.14,20.95,4.25,3.02,1.23
6/17/2008,1350.93,21.13,4.23,2.94,1.29
6/18/2008,1337.81,22.24,4.16,2.89,1.27
6/19/2008,1342.83,21.58,4.22,2.99,1.23
6/20/2008,1317.93,22.87,4.16,2.88,1.28
6/23/2008,1318.00,22.64,4.19,2.98,1.21
6/24/2008,1314.29,22.42,4.10,2.87,1.23
6/25/2008,1321.97,21.14,4.12,2.82,1.30
6/26/2008,1283.15,23.93,4.07,2.68,1.39
6/27/2008,1278.38,23.44,3.99,2.65,1.34
6/30/2008,1280.00,23.95,3.99,2.63,1.36
7/1/2008,1284.91,23.65,4.01,2.63,1.38
7/2/2008,1261.52,25.92,3.99,2.6,1.39
7/3/2008,1262.90,24.78,3.99,2.54,1.45
7/4/2008,.,0.00,.,.,#VALUE!
7/7/2008,1252.31,25.78,3.95,2.47,1.48
7/8/2008,1273.70,23.15,3.91,2.47,1.44
7/9/2008,1244.69,25.23,3.85,2.41,1.44
7/10/2008,1253.39,25.59,3.83,2.44,1.39
7/11/2008,1239.49,27.49,3.96,2.59,1.37
7/14/2008,1228.30,28.48,3.90,2.47,1.43
7/15/2008,1214.91,28.54,3.87,2.39,1.48
7/16/2008,1245.36,25.10,3.97,2.44,1.53
7/17/2008,1260.32,25.01,4.07,2.58,1.49
7/18/2008,1260.68,24.05,4.11,2.66,1.45
7/21/2008,1260.00,23.05,4.09,2.66,1.43
7/22/2008,1277.00,21.18,4.14,2.74,1.40
7/23/2008,1282.19,21.31,4.16,2.81,1.35
7/24/2008,1252.54,23.44,4.03,2.61,1.42
7/25/2008,1257.76,22.91,4.13,2.7,1.43
7/28/2008,1234.37,24.23,4.06,2.59,1.47
7/29/2008,1263.20,22.03,4.09,2.65,1.44
7/30/2008,1284.26,21.21,4.07,2.64,1.43
7/31/2008,1267.38,22.94,3.99,2.52,1.47
8/1/2008,1260.31,22.57,3.97,2.51,1.46
8/4/2008,1249.01,23.49,3.98,2.53,1.45
8/5/2008,1284.88,21.14,4.04,2.54,1.50
8/6/2008,1289.19,20.23,4.06,2.56,1.50
8/7/2008,1266.07,21.15,3.92,2.43,1.49
8/8/2008,1296.32,20.66,3.94,2.51,1.43
8/11/2008,1305.32,20.12,3.99,2.56,1.43
8/12/2008,1289.59,21.17,3.91,2.45,1.46
8/13/2008,1285.83,21.55,3.94,2.5,1.44
8/14/2008,1292.93,20.34,3.89,2.45,1.44
8/15/2008,1298.20,19.58,3.84,2.4,1.44
